Player_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Is_Umpire
87,MK Tiwary,Right_Hand,Legbreak googly,India,0
88,KD Karthik,Right_Hand,NULL,India,0
89,R Bhatia,Right_Hand,Right-arm medium-fast,India,0
90,MF Maharoof,Right_Hand,Right-arm fast-medium,India,0
91,VY Mahesh,Right_Hand,Right-arm medium-fast,India,0
92,TM Srivastava,Left_Hand,Right-arm medium,India,0
93,B Chipli,Right_Hand,Right-arm medium,India,0
94,DW Steyn,Right_Hand,Right-arm fast,South Africa,0
95,DB Das,Right_Hand,Legbreak googly,India,0
96,MK Pandey,Right_Hand,Right-arm medium,India,0
97,HH Gibbs,Right_Hand,Right-arm bowler,South Africa,0
98,DNT Zoysa,Left_Hand,Left-arm fast-medium,Sri Lanka,0
99,D Kalyankrishna,Right_Hand,Right-arm medium-fast,India,0
100,SE Marsh,Left_Hand,Slow left-arm orthodox,Australia,0
101,SA Asnodkar,Right_Hand,Right-arm offbreak,India,0
102,Sohail Tanvir,Left_Hand,Left-arm medium-fast,Pakistan,0
103,Salman Butt,Left_Hand,Right-arm offbreak,Pakistan,0
104,BJ Hodge,Right_Hand,Right-arm offbreak,Australia,0
105,Umar Gul,Right_Hand,Right-arm fast-medium,Pakistan,0
106,AB Dinda,Right_Hand,Right-arm medium-fast,India,0
107,SP Fleming,Left_Hand,NULL,New Zealand,0
108,S Vidyut,Left_Hand,Slow left-arm orthodox,India,0
109,JA Morkel,Left_Hand,Right-arm medium-fast,South Africa,0
110,AB de Villiers,Right_Hand,Right-arm medium,South Africa,0
111,LPC Silva,Right_Hand,Legbreak,Sri Lanka,0
112,DB Ravi Teja,Right_Hand,Legbreak googly,India,0
113,Misbah-ul-Haq,Right_Hand,Legbreak,Pakistan,0
114,YV Takawale,Right_Hand,NULL,India,0
115,RR Raje,Right_Hand,Right-arm fast-medium,India,0
116,PJ Sangwan,Right_Hand,Left-arm medium,India,0
117,Mohammad Asif,Left_Hand,Right-arm fast-medium,Pakistan,0
118,GD McGrath,Right_Hand,Right-arm fast-medium,Australia,0
119,Joginder Sharma,Right_Hand,Right-arm fast-medium,India,0
120,MS Gony,Right_Hand,Right-arm medium,India,0
121,M Muralitharan,Right_Hand,Right-arm offbreak,Sri Lanka,0
122,M Ntini,Right_Hand,Right-arm fast,South Africa,0
123,DT Patil,Right_Hand,NULL,India,0
124,A Kumble,Right_Hand,Legbreak googly,India,0
125,S Anirudha,Right_Hand,NULL,India,0
126,MM Patel,Right_Hand,Right-arm medium-fast,India,0
127,CK Kapugedera,Right_Hand,Right-arm medium,Sri Lanka,0
128,A Chopra,Right_Hand,Right-arm offbreak,India,0
129,T Taibu,Right_Hand,Right-arm medium,Zimbabwea,0
130,J Arunkumar,Right_Hand,Right-arm offbreak,India,0
131,PP Ojha,Left_Hand,Slow left-arm orthodox,India,0
132,SP Goswami,Left_Hand,NULL,India,0
